100
120
0	-1	-1	9999999
1	40	40	0
2	22	22	18
3	36	26	26
4	21	45	11
5	45	35	30
6	55	20	21
7	33	34	19
8	50	50	15
9	55	45	16
10	26	59	29
11	40	66	26
12	55	65	37
13	35	51	16
14	62	35	12
15	62	57	31
16	62	24	8
17	21	36	19
18	33	44	20
19	9	56	13
20	62	48	15
21	66	14	22
22	44	13	28
23	26	13	12
24	11	28	6
25	7	43	27
26	17	64	14
27	41	46	18
28	55	34	17
29	35	16	29
30	52	26	13
31	43	26	22
32	31	76	25
33	22	53	28
34	26	29	27
35	50	40	19
36	55	50	10
37	54	10	12
38	60	15	14
39	47	66	24
40	30	60	16
41	30	50	33
42	12	17	15
43	15	14	11
44	16	19	18
45	21	48	17
46	50	30	21
47	51	42	27
48	50	15	19
49	48	21	20
50	12	38	5
51	15	56	22
52	29	39	12
53	54	38	19
54	55	57	22
55	67	41	16
56	10	70	7
57	6	25	26
58	65	27	14
59	40	60	21
60	70	64	24
61	64	4	13
62	36	6	15
63	30	20	18
64	20	30	11
65	15	5	28
66	50	70	9
67	57	72	37
68	45	42	30
69	38	33	10
70	50	4	8
71	66	8	11
72	59	5	3
73	35	60	1
74	27	24	6
75	40	20	10
76	40	37	20
77	11	67	19
78	52	96	2
79	81	29	12
80	97	62	20
81	71	5	6
82	6	56	17
83	48	50	8
84	91	17	14
85	49	68	2
86	85	29	8
87	11	16	5
88	74	98	7
89	56	37	22
90	13	81	14
91	66	80	17
92	96	55	23
93	36	17	15
94	32	23	21
95	6	13	2
96	64	30	24
97	87	5	10
98	75	61	20
99	40	72	6
100	1	44	21
101	60	95	10
102	27	49	6
103	15	33	13
104	46	53	21
105	28	43	24
106	3	9	11
107	1	100	16
108	53	46	8
109	98	8	11
110	6	25	11
111	7	81	22
112	96	88	17
113	2	35	22
114	32	94	17
115	95	94	8
116	9	11	23
117	96	16	5
118	90	68	3
119	33	31	18
120	6	59	12
