100
45
0	-1	-1	999999
1	31	73	0
2	11	67	19
3	52	96	2
4	81	29	12
5	97	62	20
6	71	5	6
7	6	56	17
8	48	50	8
9	91	17	14
10	49	68	2
11	85	29	8
12	11	16	5
13	74	98	7
14	56	37	22
15	13	81	14
16	66	80	17
17	96	55	23
18	36	17	15
19	32	23	21
20	6	13	2
21	64	30	24
22	87	5	10
23	75	61	20
24	40	72	6
25	1	44	21
26	60	95	10
27	27	49	6
28	15	33	13
29	46	53	21
30	28	43	24
31	3	9	11
32	1	100	16
33	53	46	8
34	98	8	11
35	6	25	11
36	7	81	22
37	96	88	17
38	2	35	22
39	32	94	17
40	95	94	8
41	9	11	23
42	96	16	5
43	90	68	3
44	33	31	18
45	6	59	12
